Episode Dialog_Length Sentence_Length Percent_Agreed Alice_Advantage Runtime Combined_Reward Alice_Reward Alice_Selection_Pct Alice_Unique_Utterances Bob_Reward Bob_Selection_Pct Bob_Unique_Utterances Pct_Utterances_Fully_Matching_Human_Utterances
100 4.63 6.85 15.00 -0.25 0.127 2.50 1.23 54.00 152 1.27 46.00 159 0.50
200 4.58 6.87 15.50 0.34 0.123 2.46 1.26 53.00 295 1.21 47.00 305 0.50
300 4.69 6.98 17.33 0.36 0.129 2.75 1.41 53.33 463 1.34 46.67 449 0.49
400 4.72 7.12 19.75 0.19 0.132 3.11 1.57 51.75 632 1.54 48.25 586 0.49
500 4.81 7.35 19.80 0.33 0.138 3.10 1.58 51.40 814 1.52 48.60 735 0.48
600 4.84 7.45 19.17 0.14 0.141 3.01 1.52 51.33 981 1.49 48.67 889 0.48
700 4.88 7.59 19.00 0.06 0.145 2.98 1.49 51.71 1156 1.48 48.29 1042 0.47
800 4.95 7.82 19.38 0.05 0.150 3.04 1.51 51.38 1358 1.52 48.62 1205 0.46
900 5.01 8.01 20.11 0.02 0.154 3.13 1.57 50.67 1556 1.56 49.33 1364 0.45
1000 5.05 8.13 20.30 0.02 0.156 3.15 1.57 50.10 1753 1.58 49.90 1528 0.45
1100 5.12 8.35 20.18 0.04 0.160 3.13 1.56 50.27 1956 1.57 49.73 1684 0.45
1200 5.16 8.52 19.58 0.00 0.162 3.02 1.51 50.33 2161 1.51 49.67 1834 0.45
1300 5.20 8.83 19.31 0.04 0.168 2.98 1.50 50.15 2374 1.49 49.85 1982 0.44
1400 5.23 9.08 19.43 0.10 0.173 3.01 1.52 50.00 2584 1.50 50.00 2134 0.44
1500 5.31 9.40 19.07 0.09 0.180 2.95 1.49 49.87 2829 1.47 50.13 2297 0.44
1600 5.42 9.87 18.94 0.04 0.192 2.93 1.47 49.56 3105 1.46 50.44 2493 0.43
1700 5.47 10.27 19.06 0.11 0.200 2.95 1.49 49.29 3355 1.47 50.71 2674 0.43
1800 5.61 11.20 18.78 0.12 0.222 2.91 1.47 49.28 3691 1.44 50.72 2918 0.42
1900 5.77 12.23 19.00 0.11 0.248 2.94 1.48 49.11 4063 1.46 50.89 3191 0.41
2000 5.99 13.62 18.90 0.12 0.287 2.93 1.48 48.50 4512 1.46 51.50 3520 0.40
2100 6.39 15.93 18.67 0.12 0.362 2.90 1.46 48.00 5179 1.44 52.00 4040 0.38
2200 6.72 18.02 18.23 0.09 0.441 2.82 1.42 47.36 5821 1.40 52.64 4517 0.37
2300 7.84 22.73 17.61 0.12 0.703 2.73 1.37 46.52 7379 1.35 53.48 5779 0.33
2400 9.37 27.73 17.21 0.12 1.253 2.67 1.34 46.04 9563 1.32 53.96 7609 0.29
